batch 276, moves 285, time 27.28, time per move 0.10, skipped 482, processed 68523, avg_loss: 2.7705
batch 278, moves 336, time 41.77, time per move 0.12, skipped 487, processed 69018, avg_loss: 2.7843
batch 280, moves 259, time 39.88, time per move 0.15, skipped 495, processed 69510, avg_loss: 2.7630
batch 282, moves 414, time 39.89, time per move 0.10, skipped 500, processed 70005, avg_loss: 2.7291
batch 284, moves 418, time 40.51, time per move 0.10, skipped 503, processed 70502, avg_loss: 2.7656
batch 286, moves 280, time 40.27, time per move 0.14, skipped 509, processed 70996, avg_loss: 2.7798
batch 288, moves 289, time 41.45, time per move 0.14, skipped 514, processed 71491, avg_loss: 2.6982
batch 290, moves 291, time 25.98, time per move 0.09, skipped 519, processed 71986, avg_loss: 2.7419
batch 292, moves 386, time 27.26, time per move 0.07, skipped 521, processed 72484, avg_loss: 2.7042
batch 294, moves 278, time 27.66, time per move 0.10, skipped 524, processed 72981, avg_loss: 2.7091
batch 296, moves 257, time 27.91, time per move 0.11, skipped 528, processed 73477, avg_loss: 2.6987
batch 298, moves 386, time 31.45, time per move 0.08, skipped 531, processed 73974, avg_loss: 2.7133
batch 300, moves 350, time 39.91, time per move 0.11, skipped 533, processed 74472, avg_loss: 2.6940
batch 302, moves 289, time 41.36, time per move 0.14, skipped 535, processed 74970, avg_loss: 2.7062
batch 304, moves 327, time 40.94, time per move 0.13, skipped 540, processed 75465, avg_loss: 2.7433
batch 306, moves 395, time 39.62, time per move 0.10, skipped 548, processed 75957, avg_loss: 2.7346
batch 308, moves 306, time 39.38, time per move 0.13, skipped 554, processed 76451, avg_loss: 2.6953
batch 310, moves 348, time 40.99, time per move 0.12, skipped 560, processed 76945, avg_loss: 2.7244
batch 312, moves 300, time 34.32, time per move 0.11, skipped 560, processed 77445, avg_loss: 2.7005
batch 314, moves 242, time 26.01, time per move 0.11, skipped 563, processed 77942, avg_loss: 2.7018
batch 316, moves 451, time 25.83, time per move 0.06, skipped 566, processed 78439, avg_loss: 2.7172
batch 318, moves 315, time 26.04, time per move 0.08, skipped 573, processed 78932, avg_loss: 2.7203
batch 320, moves 473, time 28.13, time per move 0.06, skipped 579, processed 79426, avg_loss: 2.7180
batch 322, moves 348, time 26.98, time per move 0.08, skipped 583, processed 79922, avg_loss: 2.6943
batch 324, moves 303, time 28.77, time per move 0.09, skipped 588, processed 80417, avg_loss: 2.7415
batch 326, moves 353, time 26.45, time per move 0.07, skipped 592, processed 80913, avg_loss: 2.7286
batch 328, moves 335, time 25.90, time per move 0.08, skipped 595, processed 81410, avg_loss: 2.6603
batch 330, moves 281, time 28.10, time per move 0.10, skipped 597, processed 81908, avg_loss: 2.6365
batch 332, moves 318, time 30.09, time per move 0.09, skipped 605, processed 82400, avg_loss: 2.6634
batch 334, moves 329, time 27.06, time per move 0.08, skipped 606, processed 82899, avg_loss: 2.6708
batch 336, moves 354, time 27.50, time per move 0.08, skipped 609, processed 83396, avg_loss: 2.7569
batch 338, moves 361, time 28.15, time per move 0.08, skipped 612, processed 83893, avg_loss: 2.7230
batch 340, moves 403, time 31.72, time per move 0.08, skipped 617, processed 84388, avg_loss: 2.6892
batch 342, moves 317, time 38.28, time per move 0.12, skipped 619, processed 84886, avg_loss: 2.6507
batch 344, moves 348, time 40.80, time per move 0.12, skipped 625, processed 85380, avg_loss: 2.7025
batch 346, moves 398, time 38.76, time per move 0.10, skipped 627, processed 85878, avg_loss: 2.6588
batch 348, moves 368, time 37.82, time per move 0.10, skipped 628, processed 86377, avg_loss: 2.6741
batch 350, moves 308, time 37.52, time per move 0.12, skipped 630, processed 86875, avg_loss: 2.6724
batch 352, moves 260, time 31.97, time per move 0.12, skipped 635, processed 87370, avg_loss: 2.6608
batch 354, moves 380, time 30.30, time per move 0.08, skipped 641, processed 87864, avg_loss: 2.7036
batch 356, moves 269, time 32.01, time per move 0.12, skipped 643, processed 88362, avg_loss: 2.7088
batch 358, moves 273, time 31.32, time per move 0.11, skipped 645, processed 88860, avg_loss: 2.6418
batch 360, moves 199, time 27.61, time per move 0.14, skipped 647, processed 89358, avg_loss: 2.6319
batch 362, moves 308, time 29.89, time per move 0.10, skipped 652, processed 89853, avg_loss: 2.6471
batch 364, moves 210, time 33.19, time per move 0.16, skipped 656, processed 90349, avg_loss: 2.6507
batch 366, moves 421, time 29.59, time per move 0.07, skipped 662, processed 90843, avg_loss: 2.6266
batch 368, moves 294, time 33.91, time per move 0.12, skipped 670, processed 91335, avg_loss: 2.6367
batch 370, moves 378, time 37.40, time per move 0.10, skipped 675, processed 91830, avg_loss: 2.6399
batch 372, moves 354, time 28.74, time per move 0.08, skipped 678, processed 92327, avg_loss: 2.6906
batch 374, moves 373, time 45.57, time per move 0.12, skipped 682, processed 92823, avg_loss: 2.7531
batch 376, moves 311, time 33.47, time per move 0.11, skipped 683, processed 93322, avg_loss: 2.6836
batch 378, moves 260, time 31.57, time per move 0.12, skipped 685, processed 93820, avg_loss: 2.6436
batch 380, moves 253, time 31.42, time per move 0.12, skipped 692, processed 94313, avg_loss: 2.7016
batch 382, moves 393, time 27.56, time per move 0.07, skipped 696, processed 94809, avg_loss: 2.6165
batch 384, moves 321, time 26.46, time per move 0.08, skipped 699, processed 95306, avg_loss: 2.6204
batch 386, moves 403, time 27.70, time per move 0.07, skipped 700, processed 95805, avg_loss: 2.6285
batch 388, moves 427, time 31.34, time per move 0.07, skipped 702, processed 96303, avg_loss: 2.6307
batch 390, moves 352, time 26.23, time per move 0.07, skipped 705, processed 96800, avg_loss: 2.6794
batch 392, moves 351, time 28.19, time per move 0.08, skipped 712, processed 97293, avg_loss: 2.6358
batch 394, moves 300, time 31.11, time per move 0.10, skipped 717, processed 97788, avg_loss: 2.6064
batch 396, moves 393, time 26.33, time per move 0.07, skipped 719, processed 98286, avg_loss: 2.5814
batch 398, moves 282, time 27.00, time per move 0.10, skipped 722, processed 98783, avg_loss: 2.6088
batch 400, moves 271, time 26.70, time per move 0.10, skipped 726, processed 99279, avg_loss: 2.6199
batch 402, moves 348, time 28.89, time per move 0.08, skipped 729, processed 99776, avg_loss: 2.6095
batch 404, moves 326, time 26.53, time per move 0.08, skipped 730, processed 100275, avg_loss: 2.6163
batch 406, moves 418, time 28.32, time per move 0.07, skipped 733, processed 100772, avg_loss: 2.6249
batch 408, moves 407, time 36.64, time per move 0.09, skipped 735, processed 101270, avg_loss: 2.6417
batch 410, moves 424, time 42.85, time per move 0.10, skipped 740, processed 101765, avg_loss: 2.6291
batch 412, moves 256, time 41.20, time per move 0.16, skipped 742, processed 102263, avg_loss: 2.6097
batch 414, moves 357, time 42.25, time per move 0.12, skipped 745, processed 102760, avg_loss: 2.6534
batch 416, moves 368, time 41.12, time per move 0.11, skipped 750, processed 103255, avg_loss: 2.5954
batch 418, moves 389, time 41.84, time per move 0.11, skipped 752, processed 103753, avg_loss: 2.5867
batch 420, moves 255, time 40.18, time per move 0.16, skipped 757, processed 104248, avg_loss: 2.5934
batch 422, moves 347, time 38.89, time per move 0.11, skipped 761, processed 104744, avg_loss: 2.5959
